"province","province_name","age_group","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"P0001","East Azerbaijan","0 to 4",1550.9442307692832,1462,-88.9442307692832,147.0999999999383,107.4497177364874,-300.959397999047,123.0709364604806,-64.9151672298255,359.1151672297021
"P0001","East Azerbaijan","10 to 14",197.55769230774132,281,83.44230769225868,120.02564102561138,34.95907488875569,14.46256288814105,152.4220524963763,51.04589622149375,189.005385829729
"P0001","East Azerbaijan","15 to 19",455.33461538458675,438,-17.334615384586755,92.69358974360229,42.267508655939096,-100.73504774357612,66.06581697440261,9.293157384612925,176.09402210259165
"P0001","East Azerbaijan","20 to 24",426.17884615376494,514,87.82115384623506,159.57948717953553,43.7725637315195,1.4510114660268556,174.19129622644328,73.20934479932733,245.94962955974376
"P0001","East Azerbaijan","25 to 29",598.6807692307582,631,32.31923076924181,131.02692307692965,52.30867552395287,-70.89400070686413,135.53246224534774,27.813691600823702,234.2401545530356
"P0001","East Azerbaijan","30 to 34",679.0923076923159,934,254.9076923076841,312.8871794871709,62.43728798867485,131.70911781951096,378.1062667958572,189.68860499899776,436.085753975344
"P0001","East Azerbaijan","35 to 39",814.436538461732,1170,355.56346153826803,399.6692307690846,60.429302428167766,236.32695789936335,474.7999651771727,280.43272713017996,518.9057344079893
"P0001","East Azerbaijan","40 to 44",939.8249999998568,1468,528.1750000001432,574.4500000001179,62.79312830969035,404.27429667667417,652.0757033236123,450.5492966766489,698.350703323587
"P0001","East Azerbaijan","45 to 49",1241.480769230798,1813,571.5192307692021,647.1858974358771,70.65000597765935,432.11567394579697,710.9227875926072,507.782340612472,786.5894542592822
"P0001","East Azerbaijan","5 to 9",373.4711538461706,447,73.52884615382942,129.94679487178485,45.14128239685361,-15.541993099617471,162.5996854072763,40.875955618337954,219.01763412523172
"P0001","East Azerbaijan","50 to 54",1522.3230769231611,2571,1048.6769230768389,1077.8730769230058,80.88622225902887,889.0757040127853,1208.2781421408924,918.2718578589522,1237.4742959870593
"P0001","East Azerbaijan","55 to 59",2158.4423076922544,3267,1108.5576923077456,1192.0923076923511,111.23450676705977,889.0745419492212,1328.04084266627,972.6091573338267,1411.5754580508756
"P0001","East Azerbaijan","60 to 64",2961.026923076941,4554,1592.9730769230591,1659.962820512807,126.6215393125337,1343.1288949395007,1842.8172589066176,1410.1186385292485,1909.8070024963654
"P0001","East Azerbaijan","65 to 69",3550.5749999998307,5688,2137.4250000001693,2224.7916666668034,124.01962177357024,1892.7148099317342,2382.1351900686045,1980.0814765983682,2469.5018567352386
"P0001","East Azerbaijan","70 to 74",4031.17115384617,5935,1903.82884615383,2040.3557692307575,171.9713545922348,1564.5023567905123,2243.1553355171477,1701.02927986744,2379.682258594075
"P0001","East Azerbaijan","75 to 79",4152.99038461545,6824,2671.0096153845498,2705.517948717872,177.07285710954773,2321.6170604036033,3020.402170365496,2356.1253937369256,3054.9105036988185
"P0001","East Azerbaijan","80",16370.332692307686,20552,4181.667307692314,4579.053846153885,447.6140548670235,3298.4544831620315,5064.880132222597,3695.8410216236025,5462.266670684168
"P0002","West Azerbaijan","0 to 4",841.7769230768374,964,122.22307692316258,217.515384615436,78.04276188583778,-31.767548281428503,276.21370212775366,63.52475941084492,371.5060098200271
"P0002","West Azerbaijan","10 to 14",202.76923076924953,239,36.23076923075047,84.0269230769131,29.280678963508983,-21.544608665298767,94.0061471267997,26.25154518086387,141.80230097296234
"P0002","West Azerbaijan","15 to 19",469.0326923076548,425,-44.03269230765483,67.30897435898618,39.89081162348415,-122.74352817997693,34.67814356466728,-11.40186151333593,146.01981023130827
"P0002","West Azerbaijan","20 to 24",487.7788461539585,493,5.221153846041489,97.86346153840431,44.91365708818031,-83.40054492662303,93.842852618706,9.241762765739793,186.48516031106882
"P0002","West Azerbaijan","25 to 29",493.66730769224927,578,84.33269230775073,152.27564102567487,49.29066044933418,-12.92552147052885,181.59090608603032,55.01742724739529,249.53385480395445
"P0002","West Azerbaijan","30 to 34",607.8807692307846,746,138.1192307692154,207.37307692306723,54.84593090554227,29.899595969170107,246.3388655692607,99.15344212302195,315.59271172311253
"P0002","West Azerbaijan","35 to 39",749.6211538461337,960,210.37884615386633,302.0000000000161,51.69254086068852,108.3813451274988,312.3763471802339,200.00249897364856,403.9975010263836
"P0002","West Azerbaijan","40 to 44",654.9134615382528,1073,418.0865384617472,468.0634615386164,52.59149592745153,314.3152579148116,521.8578190086828,364.29218099168077,571.8347420855521
"P0002","West Azerbaijan","45 to 49",768.5019230768828,1229,460.4980769231172,506.14294871798023,66.17297356602401,329.9284081307052,591.0677457155292,375.5732799255682,636.7126175103922
"P0002","West Azerbaijan","5 to 9",319.35000000005596,301,-18.350000000055957,77.23333333330822,34.79440988215136,-87.00483488679508,50.30483488668317,8.5784984465691,145.88816822004736
"P0002","West Azerbaijan","50 to 54",1183.8153846155049,1775,591.1846153844951,641.4256410255484,69.2717027198166,454.50066734053337,727.8685634284569,504.74169298158665,778.1095890695102
"P0002","West Azerbaijan","55 to 59",1489.4730769232428,2286,796.5269230767572,854.2961538460214,79.74125221218566,639.1849097236935,953.8689364298208,696.9541404929578,1011.638167199085
"P0002","West Azerbaijan","60 to 64",2061.8980769230893,3333,1271.1019230769107,1338.7076923076838,94.62354620450095,1084.3948065294271,1457.8090396243942,1152.0005757602003,1525.4148088551674
"P0002","West Azerbaijan","65 to 69",2327.3211538462474,3973,1645.6788461537526,1685.0666666665823,100.81823371508861,1446.7486383207777,1844.6090539867275,1486.1364588336073,1883.9968744995572
"P0002","West Azerbaijan","70 to 74",2727.375000000554,4101,1373.6249999994461,1423.8749999995293,105.4994698979278,1165.4579780262918,1581.7920219726004,1215.707978026375,1632.0420219726836
"P0002","West Azerbaijan","75 to 79",2319.5903846154274,4023,1703.4096153845726,1734.9871794871428,132.4554364207443,1442.0542382387166,1964.7649925304286,1473.6318023412869,1996.3425566329988
"P0002","West Azerbaijan","80",10797.223076923998,13354,2556.7769230760023,2921.2589743583594,314.7684803756415,1935.6892793730688,3177.864566778936,2300.1713306554257,3542.346618061293
"P0003","Ardabil","0 to 4",559.1230769231004,538,-21.12307692310037,101.31410256409201,53.620600284261215,-126.9249419787917,84.67878813259095,-4.487762491599312,207.11596761978333
"P0003","Ardabil","10 to 14",98.90769230769568,97,-1.907692307695683,45.14615384615315,21.519909951246635,-44.369854174628905,40.55446955923754,2.6839919792199254,87.60831571308637
"P0003","Ardabil","15 to 19",135.99423076920385,151,15.005769230796147,59.248076923089734,22.538007693338038,-29.465259365551063,59.47679782714336,14.777048326742523,103.71910551943694
"P0003","Ardabil","20 to 24",164.19615384611419,205,40.803846153885814,80.952564102585,26.761114114093942,-12.000034616363457,93.60772692413508,28.14868333233573,133.75644487283427
"P0003","Ardabil","25 to 29",143.06346153850433,257,113.93653846149567,137.19166666663546,34.587656182633616,45.68966109295245,182.18341583003888,68.94478929809223,205.43854403517867
"P0003","Ardabil","30 to 34",268.3749999999798,345,76.62500000002018,123.47500000001236,37.10451521396916,3.4119645096753572,149.838035490365,50.261964509667536,196.68803549035718
"P0003","Ardabil","35 to 39",310.92884615374726,419,108.07115384625274,151.87756410262617,38.498187701092945,32.10818367347615,184.03412401902932,75.91459392984957,227.84053427540277
"P0003","Ardabil","40 to 44",282.5500000001401,464,181.44999999985993,211.59999999989478,35.32778295068831,111.74273628683908,251.15726371288076,141.8927362868739,281.30726371291564
"P0003","Ardabil","45 to 49",392.8211538461018,583,190.17884615389818,222.54166666670602,38.281792704094116,114.64285729333783,265.7148350144585,147.00567780614568,298.07765552726636
"P0003","Ardabil","5 to 9",142.02884615387893,133,-9.02884615387893,42.368589743577374,23.033352988832352,-54.477268808331154,36.41957650057329,-3.079832910874849,87.81701239802959
"P0003","Ardabil","50 to 54",510.4442307691217,831,320.5557692308783,365.1692307693129,47.11922725947509,227.5821341427473,413.5294043190093,272.1955956811819,458.1428658574439
"P0003","Ardabil","55 to 59",719.6211538462501,967,247.37884615374992,302.0826923076171,48.332294144907415,152.01163959801806,342.7460527094818,206.71548575188524,397.44989886334895
"P0003","Ardabil","60 to 64",934.457692307831,1308,373.54230769216895,431.41282051272765,58.21853460321524,258.6679961556482,488.4166192286897,316.5385089762069,546.2871320492484
"P0003","Ardabil","65 to 69",1041.0942307692355,1548,506.90576923076446,551.4429487179481,63.227508600210356,382.1479653780807,631.6635730834482,426.6851448652643,676.2007525706318
"P0003","Ardabil","70 to 74",1158.6019230769723,1691,532.3980769230277,582.7096153845804,76.84760427473029,380.7656853752835,684.0304684707719,431.0772238368362,734.3420069323246
"P0003","Ardabil","75 to 79",1245.642307692248,1933,687.3576923077519,730.9884615385084,77.54927069430043,534.3408027229863,840.3745818925175,577.9715719537428,884.0053511232741
"P0003","Ardabil","80",4905.223076923425,5911,1005.7769230765753,1183.7346153843619,167.15392268554726,675.9559834050604,1335.5978627480902,853.913675712847,1513.5555550558768
"P0004","Isfahan","0 to 4",1227.2230769230935,1137,-90.22307692309346,132.9307692307624,81.98582551746912,-251.99398590011958,71.54783205393267,-28.84013974626373,294.7016782077885
"P0004","Isfahan","10 to 14",189.9153846153763,207,17.084615384623703,69.9435897435939,28.451810748865732,-39.05527535668032,73.22450612592772,13.803699002289882,126.08348048489793
"P0004","Isfahan","15 to 19",410.59230769225,486,75.40769230774998,147.62051282054423,38.352671554873226,-0.2681516563653048,151.08353627186528,71.94466885642895,223.2963567846595
"P0004","Isfahan","20 to 24",442.1326923076682,511,68.86730769233179,140.94038461539384,46.897073498044875,-23.667983136991026,161.40259852165462,48.40509378607102,233.47567544471667
"P0004","Isfahan","25 to 29",610.2000000000806,663,52.79999999991935,132.74999999996385,62.255766898913926,-70.0404048716916,175.6404048715303,9.90959512835289,255.5904048715748
"P0004","Isfahan","30 to 34",932.3788461537712,988,55.62115384622882,197.09743589747814,66.4255794763356,-75.44694607700555,186.6892537694632,66.02933597424376,328.16553582071253
"P0004","Isfahan","35 to 39",1152.1500000000215,1302,149.84999999997854,259.0333333333141,67.45056798089348,16.75943679084361,282.94056320911346,125.94277012417916,392.123896542449
"P0004","Isfahan","40 to 44",1096.7384615384076,1518,421.2615384615924,491.21538461542525,68.18675768645845,286.71835735055686,555.804719572628,356.6722035043897,625.7585657264608
"P0004","Isfahan","45 to 49",1292.3769230770565,1819,526.6230769229435,610.7692307691314,77.50359658853613,373.696309521611,679.5498443242759,457.84246336779887,763.6959981704638
"P0004","Isfahan","5 to 9",275.92115384617165,258,-17.92115384617165,60.07307692307299,34.94310644127236,-86.86939039568522,51.02708270334192,-8.875159626440578,129.02131347258654
"P0004","Isfahan","50 to 54",1629.8480769232262,2407,777.1519230767738,873.5826923075815,89.7707616859906,600.0201124760699,954.2837336774776,696.4508817068777,1050.7145029082853
"P0004","Isfahan","55 to 59",2399.6250000001764,3358,958.3749999998236,1035.0416666665244,111.9905931890229,737.3999723933217,1179.3500276063255,814.0666390600226,1256.0166942730264
"P0004","Isfahan","60 to 64",2830.5423076926645,4710,1879.4576923073355,1941.4474358971274,125.35515036079168,1632.1122946020193,2126.8030900126514,1694.1020381918113,2188.7928336024434
"P0004","Isfahan","65 to 69",3505.6326923079105,5886,2380.3673076920895,2433.6551282049377,138.47898024977619,2107.1265326212247,2653.6080827629544,2160.414353134073,2706.8959032758025
"P0004","Isfahan","70 to 74",4425.446153846718,6212,1786.5538461532824,1974.2551282047093,154.06446543884823,1482.560461226133,2090.5472310804316,1670.2617432775598,2278.248513131859
