"wave","province","province_name","age_group","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 1","P0001","East Azerbaijan","0 to 4",387.1615384615402,314,-73.1615384615402,15.588461538454112,35.496550344873214,-143.20180674688385,-3.1212701761965604,-54.45180674688953,85.62872982379776
"wave 1","P0001","East Azerbaijan","10 to 14",50.98461538462578,54,3.0153846153742165,17.282051282045984,11.548904808024332,-19.772418235804743,25.803187466553176,-5.5057515691329755,40.06985413322494
"wave 1","P0001","East Azerbaijan","15 to 19",99.43076923076302,67,-32.43076923076302,10.185897435898724,13.963282366290011,-59.98251816346493,-4.8790202980611035,-17.36585149680319,37.737646368600636
"wave 1","P0001","East Azerbaijan","20 to 24",89.29230769228633,110,20.70769230771367,34.07692307693719,14.460484819768226,-7.825115147447594,49.24049976287493,5.544115621775926,62.60973053209845
"wave 1","P0001","East Azerbaijan","25 to 29",138.08846153845792,125,-13.08846153845792,21.211538461542148,17.280431939010786,-47.18546751046907,21.008544433553226,-12.885467510468999,55.308544433553294
"wave 1","P0001","East Azerbaijan","30 to 34",160.11538461538453,188,27.884615384615472,49.57948717948972,20.626469600048743,-12.81464836160248,68.58387913083342,8.880223433271766,90.27875092570767
"wave 1","P0001","East Azerbaijan","35 to 39",194.2769230769697,201,6.723076923030305,34.45192307690104,19.96312155168637,-32.6672969501589,46.11345079621951,-4.938450796288166,73.84229695009024
"wave 1","P0001","East Azerbaijan","40 to 44",217.4999999999658,268,50.50000000003419,73.89166666668878,20.744023225392713,9.568784490137446,91.43121550993094,32.96045115679203,114.82288217658552
"wave 1","P0001","East Azerbaijan","45 to 49",296.9884615384698,313,16.011538461530222,52.715384615379406,23.33958196230713,-30.04112204844693,62.06419897150737,6.662724105402255,98.768045125356565
"wave 1","P0001","East Azerbaijan","5 to 9",90.6576923076949,87,-3.6576923076949015,18.44230769230603,14.91264785962362,-33.08268844915093,25.767303833761126,-10.982688449149997,47.86730383376206
"wave 1","P0001","East Azerbaijan","50 to 54",367.15384615386637,411,43.84615384613363,58.99615384614236,26.72116708178889,-8.878905156009573,96.57121284827684,6.271094843999158,111.72121284828557
"wave 1","P0001","East Azerbaijan","55 to 59",500.0653846153715,494,-6.065384615371499,56.35000000000586,36.746874283867385,-78.57273838592167,66.44196915517867,-16.157353770544304,128.85735377055602
"wave 1","P0001","East Azerbaijan","60 to 64",701.9961538461662,719,17.00384615383382,74.28076923075423,41.83005725404234,-65.53342589090055,99.541118198568185,-8.256502813980134,156.8180412754886
"wave 1","P0001","East Azerbaijan","65 to 69",854.7999999999702,908,53.20000000002983,130.78333333333921,40.97050081350203,-27.641232200919177,134.04123220097884,49.942101132390206,211.62456553428822
"wave 1","P0001","East Azerbaijan","70 to 74",972.057692307701,1038,65.94230769229898,140.9288461538349,56.81159499096609,-46.15589104041966,178.0405064250176,28.830647421116268,253.02704488655354
"wave 1","P0001","East Azerbaijan","75 to 79",997.7692307692314,1168,170.2307692307686,190.71666666668443,58.49690180005814,54.807195499491215,285.654342962046,75.29309293540705,306.1402403979618
"wave 1","P0001","East Azerbaijan","80",4001.884615384657,4101,99.11538461534292,255.92307692303802,147.87153626958866,-192.6583785098892,390.889147740575,-35.85068620219408,547.6968400482701
"wave 1","P0002","West Azerbaijan","0 to 4",216.44615384612644,211,-5.446153846126435,35.48717948720014,25.78181576104661,-56.3177251746855,45.42541748243263,-15.384391841358926,86.35875081575921
"wave 1","P0002","West Azerbaijan","10 to 14",47.71153846154303,52,4.288461538456971,16.72051282051082,9.673018383346802,-14.797922803578757,23.3748458804927,-2.365871521524909,35.80689716254655
"wave 1","P0002","West Azerbaijan","15 to 19",100.0346153846084,69,-31.0346153846084,6.347435897437663,13.178128643787037,-57.037132720576096,-5.032098048640705,-19.655081438530033,32.34995323340536
"wave 1","P0002","West Azerbaijan","20 to 24",110.04230769233419,97,-13.042307692334191,10.575641025630816,14.8374507029641,-42.31892803457714,16.23431264990876,-18.700979316612134,39.852261367873766
"wave 1","P0002","West Azerbaijan","25 to 29",106.71538461536886,111,4.284615384631138,24.632692307699926,16.283415601026306,-27.845120778938202,36.41435154820048,-7.497043855869414,56.76242847126927
"wave 1","P0002","West Azerbaijan","30 to 34",139.68846153846488,133,-6.688461538464878,19.84999999999802,18.118626912945974,-42.439357825998655,29.0624347490689,-15.900896287535758,55.600896287531796
"wave 1","P0002","West Azerbaijan","35 to 39",184.3076923076892,165,-19.307692307689194,19.54807692307827,17.076888778839034,-53.00307565982413,14.387691044445738,-14.147306429056663,53.2434602752132
"wave 1","P0002","West Azerbaijan","40 to 44",157.523076923027,181,23.47692307697301,50.42756410259176,17.37386306976488,-10.804437188642474,57.75828334258849,16.146203836976277,84.70892436820725
