province,year,week_num,deaths,expected_deaths_mean,expected_deaths_low,expected_deaths_high,excess_deaths_mean,excess_deaths_low,excess_deaths_high,province_name
P0001,1398,41,473,488.4314103,366.1764947,610.6863258,-15.43141026,106.8235053,-137.6863258,East Azerbaijan
P0001,1398,42,423,514.6814103,392.4264947,636.9363258,-91.68141026,30.57350534,-213.9363258,East Azerbaijan
P0001,1398,43,438,485.9314103,363.6764947,608.1863258,-47.93141026,74.32350534,-170.1863258,East Azerbaijan
P0001,1398,44,392,477.6814103,355.4264947,599.9363258,-85.68141026,36.57350534,-207.9363258,East Azerbaijan
P0001,1398,45,418,464.9314103,342.6764947,587.1863258,-46.93141026,75.32350534,-169.1863258,East Azerbaijan
P0001,1398,46,489,493.9314103,371.6764947,616.1863258,-4.931410256,117.3235053,-127.1863258,East Azerbaijan
P0001,1398,47,379,443.1814103,320.9264947,565.4363258,-64.18141026,58.07350534,-186.4363258,East Azerbaijan
P0001,1398,48,436,445.6814103,323.4264947,567.9363258,-9.681410256,112.5735053,-131.9363258,East Azerbaijan
P0001,1398,49,466,431.1814103,308.9264947,553.4363258,34.81858974,157.0735053,-87.43632585,East Azerbaijan
P0001,1398,50,447,457.4314103,335.1764947,579.6863258,-10.43141026,111.8235053,-132.6863258,East Azerbaijan
P0001,1398,51,513,442.6814103,320.4264947,564.9363258,70.31858974,192.5735053,-51.93632585,East Azerbaijan
P0001,1398,52,485,443.1814103,320.9264947,565.4363258,41.81858974,164.0735053,-80.43632585,East Azerbaijan
P0001,1399,1,508,353.4269231,233.9871091,472.866737,154.5730769,274.0128909,35.13326296,East Azerbaijan
P0001,1399,2,434,433.6269231,314.1871091,553.066737,0.373076923,119.8128909,-119.066737,East Azerbaijan
P0001,1399,3,561,500.8269231,381.3871091,620.266737,60.17307692,179.6128909,-59.26673704,East Azerbaijan
P0001,1399,4,550,420.2269231,300.7871091,539.666737,129.7730769,249.2128909,10.33326296,East Azerbaijan
P0001,1399,5,499,401.8269231,282.3871091,521.266737,97.17307692,216.6128909,-22.26673704,East Azerbaijan
P0001,1399,6,492,423.0269231,303.5871091,542.466737,68.97307692,188.4128909,-50.46673704,East Azerbaijan
P0001,1399,7,437,412.0269231,292.5871091,531.466737,24.97307692,144.4128909,-94.46673704,East Azerbaijan
P0001,1399,8,470,417.6269231,298.1871091,537.066737,52.37307692,171.8128909,-67.06673704,East Azerbaijan
P0001,1399,9,445,406.4269231,286.9871091,525.866737,38.57307692,158.0128909,-80.86673704,East Azerbaijan
P0001,1399,10,417,407.2269231,287.7871091,526.666737,9.773076923,129.2128909,-109.666737,East Azerbaijan
P0001,1399,11,394,355.0269231,235.5871091,474.466737,38.97307692,158.4128909,-80.46673704,East Azerbaijan
P0001,1399,12,658,457.2269231,337.7871091,576.666737,200.7730769,320.2128909,81.33326296,East Azerbaijan
P0001,1399,13,497,399.0269231,279.5871091,518.466737,97.97307692,217.4128909,-21.46673704,East Azerbaijan
P0001,1399,14,595,429.4269231,309.9871091,548.866737,165.5730769,285.0128909,46.13326296,East Azerbaijan
P0001,1399,15,547,410.4269231,290.9871091,529.866737,136.5730769,256.0128909,17.13326296,East Azerbaijan
P0001,1399,16,549,416.8269231,297.3871091,536.266737,132.1730769,251.6128909,12.73326296,East Azerbaijan
P0001,1399,17,566,474.4269231,354.9871091,593.866737,91.57307692,211.0128909,-27.86673704,East Azerbaijan
P0001,1399,18,586,377.0269231,257.5871091,496.466737,208.9730769,328.4128909,89.53326296,East Azerbaijan
P0001,1399,19,749,496.8269231,377.3871091,616.266737,252.1730769,371.6128909,132.733263,East Azerbaijan
P0001,1399,20,668,448.4269231,328.9871091,567.866737,219.5730769,339.0128909,100.133263,East Azerbaijan
P0001,1399,21,523,409.6269231,290.1871091,529.066737,113.3730769,232.8128909,-6.066737039,East Azerbaijan
P0001,1399,22,525,440.8269231,321.3871091,560.266737,84.17307692,203.6128909,-35.26673704,East Azerbaijan
P0001,1399,23,541,415.2269231,295.7871091,534.666737,125.7730769,245.2128909,6.333262961,East Azerbaijan
P0001,1399,24,527,425.2269231,305.7871091,544.666737,101.7730769,221.2128909,-17.66673704,East Azerbaijan
P0001,1399,25,609,391.2269231,271.7871091,510.666737,217.7730769,337.2128909,98.33326296,East Azerbaijan
P0001,1399,26,575,399.0269231,279.5871091,518.466737,175.9730769,295.4128909,56.53326296,East Azerbaijan
P0001,1399,27,595,405.4314103,283.1764947,527.6863258,189.5685897,311.8235053,67.31367415,East Azerbaijan
P0001,1399,28,713,441.4314103,319.1764947,563.6863258,271.5685897,393.8235053,149.3136742,East Azerbaijan
P0001,1399,29,542,394.9314103,272.6764947,517.1863258,147.0685897,269.3235053,24.81367415,East Azerbaijan
P0001,1399,30,820,399.9314103,277.6764947,522.1863258,420.0685897,542.3235053,297.8136742,East Azerbaijan
P0001,1399,31,792,415.4314103,293.1764947,537.6863258,376.5685897,498.8235053,254.3136742,East Azerbaijan
P0001,1399,32,919,443.6814103,321.4264947,565.9363258,475.3185897,597.5735053,353.0636742,East Azerbaijan
P0001,1399,33,941,443.9314103,321.6764947,566.1863258,497.0685897,619.3235053,374.8136742,East Azerbaijan
P0001,1399,34,1029,438.4314103,316.1764947,560.6863258,590.5685897,712.8235053,468.3136742,East Azerbaijan
P0001,1399,35,1026,422.6814103,300.4264947,544.9363258,603.3185897,725.5735053,481.0636742,East Azerbaijan
P0001,1399,36,962,435.9314103,313.6764947,558.1863258,526.0685897,648.3235053,403.8136742,East Azerbaijan
P0001,1399,37,839,425.4314103,303.1764947,547.6863258,413.5685897,535.8235053,291.3136742,East Azerbaijan
P0001,1399,38,797,452.6814103,330.4264947,574.9363258,344.3185897,466.5735053,222.0636742,East Azerbaijan
P0001,1399,39,671,449.9314103,327.6764947,572.1863258,221.0685897,343.3235053,98.81367415,East Azerbaijan
P0001,1399,40,598,487.1814103,364.9264947,609.4363258,110.8185897,233.0735053,-11.43632585,East Azerbaijan
P0001,1399,41,625,488.4314103,366.1764947,610.6863258,136.5685897,258.8235053,14.31367415,East Azerbaijan
P0001,1399,42,524,514.6814103,392.4264947,636.9363258,9.318589744,131.5735053,-112.9363258,East Azerbaijan
P0001,1399,43,475,485.9314103,363.6764947,608.1863258,-10.93141026,111.3235053,-133.1863258,East Azerbaijan
P0001,1399,44,539,477.6814103,355.4264947,599.9363258,61.31858974,183.5735053,-60.93632585,East Azerbaijan
