province,samples,sero_pos
Khuzestan,416,67
Markazi,340,33
Ardabil,223,53
West Azerbaijan,520,42
Hamedan,202,29
North Khorasan,464,40
Isfahan,368,31
Alborz,231,26
Tehran,248,40
Sistan and Baluchistan,650,98
Ilam,360,36
Mazandaran,569,69
South Khorasan,390,25
Kerman,474,32
Hormozgan,336,17
Bushehr,346,46
East Azerbaijan,210,26
Razavi Khorasan,730,121
Fars,271,23
Zanjan,484,52
Semnan,359,34
Chahar Mahaal and Bakhtiari,310,23
Qazvin,334,39
Qom,198,40
Kurdistan,429,66
Kermanshah,349,34
Gilan,216,18
Lorestan,265,36
Kohgiluyeh and Boyer-Ahmad,321,44
Yazd,296,32
Golestan,354,69
