"wave","province","province_name","total_expected","total_observed","total_excess","total_excess0","se_excess","total_excess_low","total_excess_high","total_excess0_low","total_excess0_high"
"wave 1","P0001","East Azerbaijan",10120.223076923221,10566,445.776923076779,822.6596153845012,357.3411077454404,-259.3132001240908,1150.8670462776488,117.56949218363138,1527.749738585371
"wave 1","P0002","West Azerbaijan",6865.22307692361,7145,279.7769230763897,482.96538461497676,239.60599785734303,-193.0033389393986,752.5571850921781,10.185122599188446,955.7456466307651
"wave 1","P0003","Ardabil",3102.3538461539633,3398,295.64615384603667,439.852564102473,112.43119694626091,73.80174583313882,517.4905618589345,218.00815608957518,661.6969721153708
"wave 1","P0004","Isfahan",11130.769230770264,12158,1027.2307692297363,1506.2237179479416,394.9284624547304,247.9748923880968,1806.4866460713758,726.9678411063021,2285.479594789581
"wave 1","P0005","Alborz",5119.2615384620185,5655,535.7384615379815,866.5166666663263,229.73042275696793,82.44426007686997,989.032662999093,413.22246520521475,1319.8108681274377
"wave 1","P0006","Ilam",1122.5153846154503,1178,55.48461538454967,119.26730769227447,66.04315474910763,-74.82890049505903,185.79813126415837,-11.04620818733423,249.58082357188317
"wave 1","P0007","Bushehr",1955.0653846154582,1899,-56.06538461545824,128.49871794866726,87.39258694478575,-228.50468297806864,116.37391374715216,-43.94058041394314,300.9380163112777
"wave 1","P0008","Tehran",26945.100000002,30223,3277.8999999980006,4946.783333332114,960.4798556577815,1382.7224089548383,5173.077591041163,3051.6057422889517,6841.960924375277
"wave 1","P0009","Chahaar Mahal and Bakhtiari",1749.8498168498118,1802,52.15018315018824,114.83516483516809,102.56067570576917,-150.76862559633648,255.06899189671296,-88.08364391135663,317.7539735816928
"wave 1","P0010","South Khorasan",1794.4307692308398,1756,-38.430769230839815,111.51153846150055,95.2130163025115,-226.30100285335502,149.4394643916754,-76.35869516101465,299.3817720840158
"wave 1","P0011","Razavi Khorasan",14230.673076924153,14314,83.32692307584693,938.2884615378189,531.2080511059372,-964.8299838154744,1131.4838299671683,-109.86844535350247,1986.4453684291402
"wave 1","P0012","North Khorasan",2185.15384615405,2191,5.846153845950084,153.30769230756005,94.75012141260794,-181.11071546477243,192.8030231566726,-33.649177003162464,340.2645616182825
"wave 1","P0013","Khuzestan",9580.2653846162,10122,541.7346153838007,1091.946153845568,322.6391038584668,-94.88300447045276,1178.3522352380542,455.32853399131454,1728.5637736998215
"wave 1","P0014","Zanjan",2316.357692308048,2569,252.64230769195183,352.3807692305264,123.13947271096599,9.668789944543931,495.6158254393597,109.40725148311853,595.3542869779343
"wave 1","P0015","Semnan",1611.8730769231593,1703,91.12692307684074,171.24230769225733,71.42066435216522,-49.797263745319526,232.051109899001,30.31812087009706,312.1664945144176
"wave 1","P0016","Sistan and Baluchistan",6442.488461538835,5316,-1126.4884615388346,49.144871794818755,311.0239280528214,-1740.1875154562622,-512.789407621407,-564.5541821226088,662.8439257122463
"wave 1","P0017","Fars",10075.500000000338,9867,-208.50000000033833,339.7333333331708,374.2317582064849,-946.918029105067,529.9180291043904,-398.6846957715579,1078.1513624378995
"wave 1","P0018","Qazvin",2604.4576923076716,3309,704.5423076923284,801.6641025641181,140.33633331035352,427.6366833502097,981.4479320344471,524.7584782219994,1078.5697269062368
"wave 1","P0019","Qom",2766.7692307693374,3768,1001.2307692306626,1130.9051282050314,114.22968659443221,775.8376587032253,1226.6238797581,905.512017677594,1356.2982387324687
"wave 1","P0020","Kurdistan",3141.9076923079065,3426,284.0923076920935,411.8730769229478,154.86427958400145,-21.4792361479835,589.6638515321706,106.30153308287078,717.4446207630249
"wave 1","P0021","Kerman",6578.073076923527,6221,-357.07307692352697,226.24615384606477,247.23801921071816,-844.9125156186365,130.76636177158252,-261.5932848490447,714.0855925411743
"wave 1","P0022","Kermanshah",4980.457692307895,5106,125.54230769210517,290.7397435896073,158.1066967327104,-186.42703437856454,437.5116497627749,-21.229598481062396,602.709085660277
"wave 1","P0023","Kohgiluyeh and Boyer Ahmad",1330.4500000000476,1274,-56.45000000004757,85.25833333331548,72.62095532473835,-199.74254940738058,86.84254940728545,-58.034216074017536,228.5508827406485
"wave 1","P0024","Golestan",4013.9961538463904,5113,1099.0038461536096,1169.538461538276,169.73043755691657,764.0990380194246,1433.9086542877947,834.6336534040909,1504.443269672461
"wave 1","P0025","Gilan",7549.311538461432,10155,2605.688461538568,2838.5961538462134,266.3413469955013,2080.155157096239,3131.221765980897,2313.0628494038842,3364.1294582885425
"wave 1","P0026","Lorestan",4047.7846153844393,4202,154.21538461556065,400.2384615385472,160.88501315280573,-163.23601206476656,471.66678129588786,82.78706485821999,717.6898582188744
"wave 1","P0027","Mazandaran",7563.588461538785,9588,2024.411538461215,2157.640384615138,285.7021156438992,1460.6763970186853,2588.146679903745,1593.9052431726082,2721.3755260576677
"wave 1","P0028","Markazi",3477.9230769233145,3793,315.0769230766855,424.34230769214287,140.78310383699844,37.28975032368817,592.8640958296828,146.55513493914555,702.1294804451402
"wave 1","P0029","Hormozgan",3037.915384615495,2943,-94.91538461549499,149.2307692307097,136.27741384712712,-363.8121234351917,173.98135420420175,-119.66596958898702,418.12750805040645
"wave 1","P0030","Hamedan",4873.688461538691,4901,27.311538461309283,259.13205128186837,150.70113442504075,-270.0454661908336,324.6685431134522,-38.224953370274534,556.4890559340113
"wave 1","P0031","Yazd",2235.2153846152487,2492,256.7846153847513,380.580769230834,111.50491182920526,36.76791337361905,476.80131739588353,160.56406721970174,600.5974712419662
"wave 1","P9999","Iran",173858.35000000865,188153,14294.64999999135,19516.33333332732,4880.194461361605,4665.259931449584,23924.04006853312,9886.943264785552,29145.723401869087
"wave 2","P0001","East Azerbaijan",5600.550000000009,7531,1930.4499999999907,1930.4499999999907,480.67634968912574,982.0000756115347,2878.899924388447,982.0000756115347,2878.899924388447
"wave 2","P0002","West Azerbaijan",3824.20000000022,5115,1290.79999999978,1307.2769230767508,322.3053097296066,654.8410083815185,1926.7589916180418,671.3179314584892,1943.2359146950125
"wave 2","P0003","Ardabil",1696.2000000000266,2476,779.7999999999734,779.7999999999734,151.23649691503107,481.38664108059817,1078.2133589193486,481.38664108059817,1078.2133589193486
"wave 2","P0004","Isfahan",6061.350000000413,7716,1654.6499999995867,1655.2307692303912,531.2368703351364,606.4362282432214,2702.8637717559523,607.0169974740259,2703.4445409867567
