"","City","Provinces","excess_deaths","ifr","exposed","perc_exposed","perc_exposed_spring","sero_n","weighted_sero","crude_sero","test_1_adjust","test_2_adjust"
"1","Tabriz","East Azerbaijan","3000 (2200-3800)","0.30 (0.28-0.32)","1010000 (720000-1290000)","25 (18-32)","9 (8-10)","8/103","7.8 (3.4-14.7)","5.4 (1.7-10.2)","5.6 (0.0-13.0)","5.2 (0.0-12.1)"
"2","Urmia","West Azerbaijan","2000 (1700-2300)","0.24 (0.22-0.25)","830000 (640000-1030000)","24 (18-30)","6 (6-7)","8/101","7.9 (3.5-15.0)","8.4 (1.9-17.6)","10.0 (0.2-24.3)","9.3 (0.2-22.6)"
"3","Ardabil","Ardabil","1300 (1000-1600)","0.26 (0.25-0.28)","490000 (360000-610000)","37 (28-47)","13 (10-17)","11/87","12.6 (6.5-21.5)","14.8 (3.9-32.3)","20.0 (3.2-46.8)","18.6 (3.0-43.5)"
"4","Esfahan","Isfahan","3300 (2600-4000)","0.29 (0.27-0.31)","1130000 (810000-1450000)","21 (15-27)","9 (8-10)","5/119","4.3 (1.8-9.6)","3.4 (0.6-8.2)","2.7 (0.0-9.8)","2.5 (0.0-9.1)"
"5",NA,"Alborz","2000 (1700-2300)","0.24 (0.22-0.25)","840000 (640000-1050000)","29 (22-36)",NA,NA,NA,NA,NA,NA
"6",NA,"Ilam","400 (300-500)","0.23 (0.22-0.25)","170000 (130000-210000)","28 (21-34)",NA,NA,NA,NA,NA,NA
"7",NA,"Bushehr","700 (600-700)","0.18 (0.17-0.19)","380000 (3e+05-450000)","30 (24-36)",NA,NA,NA,NA,NA,NA
"8","Tehran","Tehran","8800 (7800-9700)","0.28 (0.26-0.30)","3090000 (2240000-3940000)","22 (16-28)","8 (6-10)","191/1572","12.2 (10.6-13.9)","12.4 (10.6-14.5)","16.3 (13.5-19.5)","15.1 (12.5-18.2)"
"9",NA,"South Khorasan","100 (0-100)","0.26 (0.24-0.29)","30000 (20000-40000)","4 (3-5)",NA,NA,NA,NA,NA,NA
"10","Mashhad","Razavi Khorasan","4600 (3900-5400)","0.23 (0.22-0.25)","2e+06 (1530000-2470000)","29 (22-36)","7 (6-9)","21/176","11.9 (7.5-17.6)","11.5 (7.1-16.8)","14.8 (8.2-23.1)","13.8 (7.6-21.5)"
"11",NA,"North Khorasan","400 (200-600)","0.22 (0.21-0.24)","190000 (150000-240000)","22 (17-27)",NA,NA,NA,NA,NA,NA
"12","Ahvaz","Khuzestan","4500 (3900-5100)","0.19 (0.28-0.20)","2330000 (1850000-2810000)","47 (37-57)","16 (13-19)","8/100","8.0 (3.5-15.5)","7.9 (2.2-15.9)","9.4 (0.7-21.6)","8.7 (0.6-20.1)"
"13",NA,"Zanjan","1000 (800-1100)","0.28 (0.26-0.30)","350000 (260000-440000)","32 (23-40)",NA,NA,NA,NA,NA,NA
