"Province" "Wave 1" "Wave 2" "Wave 3" "Wave 4" "Wave 5"
"Alborz" "5.32% [5.44%, 5.16%]" "10.50% [10.27%, 10.48%]" "27.44% [25.99%, 29.10%]" "45.49% [38.88%, 51.17%]" "64.09% [51.07%, 81.97%]"
"Ardabil" "11.18% [9.90%, 11.52%]" "23.57% [20.61%, 26.34%]" "51.23% [45.54%, 54.60%]" "69.27% [60.02%, 77.94%]" "92.55% [76.19%, 112.14%]"
"Bushehr" "3.20% [2.53%, 3.24%]" "11.52% [8.40%, 11.39%]" "25.13% [20.63%, 25.25%]" "40.97% [32.96%, 45.54%]" "61.29% [44.63%, 82.10%]"
"Chahar Mahaal and Bakhtiari" "7.06% [6.53%, 6.49%]" "13.46% [12.52%, 13.15%]" "40.07% [36.20%, 45.02%]" "56.42% [49.60%, 67.55%]" "76.28% [63.01%, 101.11%]"
"East Azerbaijan" "5.44% [5.50%, 5.14%]" "11.68% [11.86%, 11.45%]" "39.85% [37.39%, 42.29%]" "60.36% [52.28%, 64.14%]" "84.92% [69.06%, 103.05%]"
"Fars" "1.64% [1.61%, 1.59%]" "6.51% [6.04%, 7.08%]" "25.69% [23.57%, 29.32%]" "38.77% [33.97%, 43.35%]" "56.63% [42.64%, 71.82%]"
"Gilan" "15.51% [15.13%, 17.90%]" "17.50% [17.26%, 20.12%]" "28.36% [27.51%, 31.21%]" "36.79% [34.53%, 40.22%]" "52.62% [45.21%, 67.60%]"
"Golestan" "20.27% [18.89%, 21.60%]" "33.20% [30.69%, 36.89%]" "55.32% [48.44%, 56.16%]" "71.67% [61.89%, 75.25%]" "105.43% [87.31%, 125.82%]"
"Hamedan" "3.74% [3.79%, 3.78%]" "10.69% [10.87%, 11.16%]" "28.74% [26.68%, 29.71%]" "45.23% [40.47%, 48.63%]" "63.97% [53.45%, 76.72%]"
"Hormozgan" "3.51% [3.55%, 4.10%]" "12.58% [11.96%, 13.92%]" "21.11% [20.27%, 22.03%]" "32.48% [27.99%, 35.42%]" "48.52% [38.76%, 64.10%]"
"Ilam" "4.49% [4.13%, 4.23%]" "10.78% [10.17%, 10.55%]" "34.75% [31.70%, 36.22%]" "44.19% [40.23%, 47.35%]" "61.35% [51.01%, 73.74%]"
"Isfahan" "5.58% [4.92%, 5.28%]" "9.95% [8.66%, 9.62%]" "30.09% [26.10%, 30.96%]" "42.93% [37.36%, 45.99%]" "65.90% [51.80%, 81.46%]"
