"Province" "Wave 1" "Wave 2" "Wave 3" "Wave 4" "Wave 5"
"West Azerbaijan" "0.59% [0.59%, 0.60%]" "0.52% [0.52%, 0.58%]" "0.51% [0.44%, 0.56%]" "0.44% [0.38%, 0.53%]" "0.45% [0.27%, 0.74%]"
"Ardabil" "0.34% [0.34%, 0.37%]" "0.46% [0.39%, 0.52%]" "0.37% [0.34%, 0.40%]" "0.39% [0.34%, 0.49%]" "0.38% [0.25%, 0.55%]"
"Isfahan" "0.58% [0.58%, 0.59%]" "0.64% [0.64%, 0.66%]" "0.53% [0.51%, 0.60%]" "0.52% [0.47%, 0.65%]" "0.52% [0.32%, 0.83%]"
"Alborz" "0.56% [0.55%, 0.56%]" "0.55% [0.54%, 0.62%]" "0.49% [0.46%, 0.54%]" "0.50% [0.43%, 0.62%]" "0.49% [0.29%, 0.80%]"
"Ilam" "0.57% [0.56%, 0.57%]" "0.54% [0.54%, 0.62%]" "0.49% [0.44%, 0.53%]" "0.44% [0.40%, 0.48%]" "0.45% [0.29%, 0.71%]"
"Bushehr" "0.52% [0.50%, 0.52%]" "0.54% [0.49%, 0.63%]" "0.39% [0.38%, 0.45%]" "0.41% [0.35%, 0.54%]" "0.43% [0.23%, 0.68%]"
"Tehran" "0.58% [0.58%, 0.58%]" "0.61% [0.59%, 0.62%]" "0.48% [0.48%, 0.50%]" "0.49% [0.45%, 0.56%]" "0.45% [0.31%, 0.75%]"
"Chahar Mahaal and Bakhtiari" "0.55% [0.55%, 0.55%]" "0.60% [0.59%, 0.61%]" "0.52% [0.48%, 0.59%]" "0.50% [0.41%, 0.59%]" "0.47% [0.29%, 0.78%]"
"South Khorasan" "0.58% [0.57%, 0.58%]" "0.55% [0.55%, 0.56%]" "0.52% [0.50%, 0.57%]" "0.51% [0.45%, 0.58%]" "0.44% [0.31%, 0.67%]"
"Razavi Khorasan" "0.34% [0.34%, 0.35%]" "0.38% [0.34%, 0.46%]" "0.34% [0.31%, 0.36%]" "0.35% [0.31%, 0.41%]" "0.39% [0.25%, 0.55%]"
"North Khorasan" "0.33% [0.33%, 0.34%]" "0.39% [0.34%, 0.43%]" "0.35% [0.31%, 0.38%]" "0.35% [0.30%, 0.44%]" "0.39% [0.23%, 0.55%]"
"Khuzestan" "0.35% [0.34%, 0.41%]" "0.34% [0.29%, 0.36%]" "0.28% [0.28%, 0.30%]" "0.32% [0.28%, 0.41%]" "0.34% [0.21%, 0.51%]"
"Zanjan" "0.58% [0.58%, 0.60%]" "0.58% [0.58%, 0.68%]" "0.52% [0.48%, 0.56%]" "0.50% [0.42%, 0.62%]" "0.45% [0.30%, 0.72%]"
"Semnan" "0.58% [0.57%, 0.58%]" "0.68% [0.66%, 0.68%]" "0.51% [0.50%, 0.55%]" "0.50% [0.45%, 0.54%]" "0.44% [0.31%, 0.68%]"
"Sistan and Baluchistan" "0.53% [0.53%, 0.56%]" "0.44% [0.43%, 0.45%]" "0.38% [0.38%, 0.38%]" "0.39% [0.32%, 0.53%]" "0.35% [0.19%, 0.56%]"
"Fars" "0.58% [0.58%, 0.58%]" "0.61% [0.60%, 0.66%]" "0.55% [0.49%, 0.59%]" "0.50% [0.44%, 0.62%]" "0.49% [0.31%, 0.74%]"
"Qazvin" "0.55% [0.55%, 0.60%]" "0.51% [0.51%, 0.59%]" "0.47% [0.43%, 0.53%]" "0.44% [0.38%, 0.56%]" "0.47% [0.28%, 0.75%]"
